Lucidota sp (LACM Ent 574192),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574192,Lucidota sp,NA,antenna length,NA,NA,NA,,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1.tif,segment length,F1,NA,NA,594.176,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,mechano,NA,75.147,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,mechano,NA,80.942,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,mechano,NA,85.045,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,mechano,NA,62.085,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,mechano,NA,80.376,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,olfactory,basiconica,10.653,1 (orange,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,olfactory,trichoid,11.753,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,olfactory,basiconica,9.783,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,olfactory,basiconica,10.068,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1L.tif,sensillum length,F1,olfactory,basiconica,9.273,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width prox,F1,mechano,NA,4.752,1A,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width med,F1,mechano,NA,2.665,1B,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width dis,F1,mechano,NA,1.405,1C,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width prox,F1,mechano,NA,4.455,2A,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width med,F1,mechano,NA,2.007,2B,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width dis,F1,mechano,NA,0.816,2C,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width prox,F1,mechano,NA,4.974,3A,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width med,F1,mechano,NA,2.849,3B,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width dis,F1,mechano,NA,1.354,3C,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width med,F1,olfactory,basiconica,4.454,1B,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width med,F1,olfactory,basiconica,4.812,2B,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f1W.tif,sensillum width med,F1,olfactory,basiconica,4.564,3B,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2.tif,segment length,F2,NA,NA,887.188,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,mechano,NA,100.13,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,mechano,NA,76.17,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,mechano,NA,75.382,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,mechano,NA,82.009,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,mechano,NA,74.491,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,olfactory,basiconica,10.937,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,olfactory,basiconica,10.327,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,olfactory,basiconica,12.406,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,olfactory,basiconica,13.164,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,olfactory,basiconica,7.68,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2L.tif,sensillum length,F2,mechano,NA,4.766,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width med,F2,mechano,NA,2.273,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width dis,F2,mechano,NA,1.097,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width prox,F2,mechano,NA,5.089,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width med,F2,mechano,NA,3.831,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width dis,F2,mechano,NA,2.174,6 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width prox,F2,mechano,NA,4.608,7 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width med,F2,mechano,NA,2.559,8 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width dis,F2,mechano,NA,1.086,9 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width med,F2,olfactory,basiconica,4.479,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width med,F2,olfactory,basiconica,4.718,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f2W.tif,sensillum width med,F2,olfactory,basiconica,4.54,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3.tif,segment length,F3,NA,NA,860.348,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,mechano,NA,72.283,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,mechano,NA,77.386,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,mechano,NA,71.058,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,mechano,NA,84.169,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,mechano,NA,73.612,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,olfactory,basiconica,10.883,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,olfactory,basiconica,10.293,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,olfactory,basiconica,11.98,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,olfactory,basiconica,13.082,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3L.tif,sensillum length,F3,olfactory,basiconica,10.112,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width prox,F3,mechano,NA,4.951,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width med,F3,mechano,NA,2.907,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width dis,F3,mechano,NA,0.964,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width prox,F3,mechano,NA,4.793,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width med,F3,mechano,NA,3.095,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width dis,F3,mechano,NA,1.548,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width prox,F3,mechano,NA,5.313,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width med,F3,mechano,NA,3.299,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width dis,F3,mechano,NA,1.881,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width med,F3,olfactory,basiconica,4.672,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width med,F3,olfactory,basiconica,4.732,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f3W.tif,sensillum width med,F3,olfactory,basiconica,4.917,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4.tif,segment length,F4,NA,NA,903.066,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,mechano,NA,85.904,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,mechano,NA,74.247,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,mechano,NA,105.628,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,mechano,NA,90.682,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,mechano,NA,71.303,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,olfactory,basiconica,7.976,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,olfactory,trichoid,10.834,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,olfactory,basiconica,9.586,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,olfactory,basiconica,8.14,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4L.tif,sensillum length,F4,olfactory,trichoid,9.377,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width prox,F4,mechano,NA,5.353,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width med,F4,mechano,NA,2.431,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width dis,F4,mechano,NA,1.198,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width prox,F4,mechano,NA,4.715,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width med,F4,mechano,NA,2.16,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width dis,F4,mechano,NA,1.062,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width prox,F4,mechano,NA,4.841,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width med,F4,mechano,NA,2.146,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width dis,F4,mechano,NA,0.869,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width med,F4,olfactory,basiconica,4.891,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width med,F4,olfactory,basiconica,4.845,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f4W.tif,sensillum width med,F4,olfactory,basiconica,5.007,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5.tif,segment length,F5,NA,NA,958.504,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,mechano,NA,66.263,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,mechano,NA,60.88,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,mechano,NA,57.96,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,mechano,NA,63.347,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,mechano,NA,68.938,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,olfactory,trichoid,6.972,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,olfactory,trichoid,7.152,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,olfactory,trichoid,7.17,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,olfactory,trichoid,9.445,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5L.tif,sensillum length,F5,olfactory,trichoid,9.259,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width prox,F5,mechano,NA,4.816,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width med,F5,mechano,NA,2.94,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width dis,F5,mechano,NA,1.312,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width prox,F5,mechano,NA,4.726,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width med,F5,mechano,NA,2.592,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width dis,F5,mechano,NA,1.427,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width prox,F5,mechano,NA,5.332,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width med,F5,mechano,NA,3.115,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width dis,F5,mechano,NA,1.228,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width med,F5,olfactory,basiconica,4.974,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width med,F5,olfactory,basiconica,5.152,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f5W.tif,sensillum width med,F5,olfactory,trichoid,2.053,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6.tif,segment length,F6,NA,NA,1004.578,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,mechano,NA,104.566,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,mechano,NA,77.556,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,mechano,NA,98.276,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,mechano,NA,84.52,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,mechano,NA,81.659,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,olfactory,basiconica,9.887,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,olfactory,basiconica,8.853,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,olfactory,basiconica,9.308,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,olfactory,basiconica,10.639,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6L.tif,sensillum length,F6,olfactory,basiconica,9.477,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width prox,F6,mechano,NA,5.291,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width med,F6,mechano,NA,3.383,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width dis,F6,mechano,NA,1.391,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width prox,F6,mechano,NA,6.466,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width med,F6,mechano,NA,4.037,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width dis,F6,mechano,NA,1.594,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width prox,F6,mechano,NA,5.587,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width med,F6,mechano,NA,3.025,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width dis,F6,mechano,NA,1.768,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width med,F6,olfactory,basiconica,4.461,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width med,F6,olfactory,basiconica,4.454,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f6W.tif,sensillum width med,F6,olfactory,basiconica,4.625,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7.tif,segment length,F7,NA,NA,1058.379,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,mechano,NA,72.822,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,mechano,NA,73.289,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,mechano,NA,93.9,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,mechano,NA,76.911,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,mechano,NA,78.621,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,olfactory,basiconica,9.742,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,olfactory,basiconica,9.487,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,olfactory,basiconica,8.945,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,olfactory,basiconica,8.981,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7L.tif,sensillum length,F7,olfactory,basiconica,8.288,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width prox,F7,mechano,NA,5.209,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width med,F7,mechano,NA,2.952,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width dis,F7,mechano,NA,1.096,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width prox,F7,mechano,NA,5.329,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width med,F7,mechano,NA,2.506,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width dis,F7,mechano,NA,1.349,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width prox,F7,mechano,NA,5.028,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width med,F7,mechano,NA,3.005,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width dis,F7,mechano,NA,1.055,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width med,F7,olfactory,basiconica,4.891,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width med,F7,olfactory,basiconica,4.979,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f7W.tif,sensillum width med,F7,olfactory,basiconica,5.181,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8.tif,segment length,F8,NA,NA,1137.829,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,mechano,NA,83.753,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,mechano,NA,78.54,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,mechano,NA,80.3,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,mechano,NA,75.497,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,mechano,NA,82.003,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,olfactory,basiconica,9.867,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,olfactory,basiconica,9.971,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,olfactory,basiconica,9.803,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,olfactory,basiconica,9.853,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8L.tif,sensillum length,F8,olfactory,basiconica,10.445,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width prox,F8,mechano,NA,5.293,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width med,F8,mechano,NA,3.237,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width dis,F8,mechano,NA,1.611,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width prox,F8,mechano,NA,5.31,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width med,F8,mechano,NA,2.786,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width dis,F8,mechano,NA,1.01,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width prox,F8,mechano,NA,5.046,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width med,F8,mechano,NA,2.663,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width dis,F8,mechano,NA,0.869,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width med,F8,olfactory,basiconica,4.922,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width med,F8,olfactory,basiconica,5.021,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f8W.tif,sensillum width med,F8,olfactory,basiconica,5.594,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9.tif,segment length,F9,NA,NA,1520.359,,
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,mechano,NA,73.556,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,mechano,NA,74.66,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,mechano,NA,67.301,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,mechano,NA,79.968,4 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,mechano,NA,82.354,5 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,olfactory,basiconica,9.957,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,olfactory,basiconica,8.521,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,olfactory,basiconica,9.284,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,olfactory,basiconica,7.867,4 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9L.tif,sensillum length,F9,olfactory,basiconica,8.95,5 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width prox,F9,mechano,NA,5.639,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width med,F9,mechano,NA,2.647,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width dis,F9,mechano,NA,1.028,1 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width prox,F9,mechano,NA,6.072,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width med,F9,mechano,NA,2.612,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width dis,F9,mechano,NA,1.128,2 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width prox,F9,mechano,NA,5.063,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width med,F9,mechano,NA,2.447,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width dis,F9,mechano,NA,1.283,3 (green),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width med,F9,olfactory,basiconica,5.174,1 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width med,F9,olfactory,basiconica,5.15,2 (orange),
LACM Ent 574192,Lucidota sp,Lucidota sp 192 f9W.tif,sensillum width med,F9,olfactory,basiconica,5.256,3 (orange),
LACM Ent 574192,Lucidota sp,Lucidota_sp_192_f1.tif,segment width,F1,NA,NA,459,NA,
LACM Ent 574192,Lucidota sp,Lucidota_sp_192_f2.tif,segment width,F2,NA,NA,479.5,NA,
LACM Ent 574192,Lucidota sp,Lucidota_sp_192_f3.tif,segment width,F3,NA,NA,502.3,NA,
LACM Ent 574192,Lucidota sp,Lucidota_sp_192_f4.tif,segment width,F4,NA,NA,506.3,NA,
LACM Ent 574192,Lucidota sp,L_pp_192_full2.tif,segment width,F5,NA,NA,461.2,NA,
LACM Ent 574192,Lucidota sp,L_pp_192_full2.tif,segment width,F6,NA,NA,423.7,NA,
LACM Ent 574192,Lucidota sp,L_pp_192_full1.tif,segment width,F7,NA,NA,436.6,NA,
LACM Ent 574192,Lucidota sp,L_pp_192_full1.tif,segment width,F8,NA,NA,416.8,NA,
LACM Ent 574192,Lucidota sp,L_pp_192_full1.tif,segment width,F9,NA,NA,368.4,NA,
