Photinus consanguineus (NCC Ent 10),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 10,Photinus consanguineus,Photinus_consanguineus_antenna.tif,antenna length,NA,NA,NA,3367.349,NA,
NCC Ent 10,Photinus consanguineus,Photinus_consanguineus_antenna.tif,segment length,F1,NA,NA,202.764,NA,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,mechano,NA,60.452,cyan 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,mechano,NA,58.059,cyan 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,mechano,NA,87.497,cyan 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,mechano,NA,76.817,cyan 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,mechano,NA,47.674,cyan 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,olfactory,trichoid,13.695,magenta 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,olfactory,trichoid,7.569,magenta 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,olfactory,trichoid,7.281,magenta 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,olfactory,trichoid,14.699,magenta 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_L.tif,sensillum length,F1,olfactory,trichoid,6.92,magenta 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width prox,F1,mechano,NA,2.654,cyan 1A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width med,F1,mechano,NA,1.699,cyan 1B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width dis,F1,mechano,NA,0.684,cyan 1C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width prox,F1,mechano,NA,2.754,cyan 2A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width med,F1,mechano,NA,1.905,cyan 2B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width dis,F1,mechano,NA,0.794,cyan 2C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width prox,F1,mechano,NA,2.363,cyan 3A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width med,F1,mechano,NA,1.74,cyan 3B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width dis,F1,mechano,NA,1.477,cyan 3C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.245,magenta 1B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width med,F1,olfactory,trichoid,2.487,magenta 2B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.794,magenta 3B,
NCC Ent 10,Photinus consanguineus,Photinus_consanguineus_antenna.tif,segment length,F2,NA,NA,456.133,,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,mechano,NA,62.736,cyan 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,mechano,NA,51.019,cyan 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,mechano,NA,43.262,cyan 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,mechano,NA,61.013,cyan 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,mechano,NA,53.879,cyan 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,olfactory,trichoid,30.025,magenta 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,olfactory,trichoid,30.114,magenta 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,olfactory,trichoid,16.282,magenta 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,olfactory,trichoid,15.88,magenta 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_L.tif,sensillum length,F2,olfactory,trichoid,19.974,magenta 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width prox,F2,mechano,NA,2.436,cyan 1 A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width med,F2,mechano,NA,2.196,cyan 1 B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width dis,F2,mechano,NA,1.546,cyan 1 C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width prox,F2,mechano,NA,2.574,cyan 2 A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width med,F2,mechano,NA,1.543,cyan 2 B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width dis,F2,mechano,NA,0.795,cyan 2 C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width prox,F2,mechano,NA,2.624,cyan 3 A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width med,F2,mechano,NA,1.841,cyan 3 B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width dis,F2,mechano,NA,0.81,cyan 3 C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width med,F2,olfactory,trichoid,1.039,magenta 1 B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width med,F2,olfactory,trichoid,1.204,magenta 2 B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f2_W.tif,sensillum width med,F2,olfactory,trichoid,1.307,magenta 2 C,
NCC Ent 10,Photinus consanguineus,Photinus_consanguineus_antenna.tif,segment length,F3,NA,NA,397.864,,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,mechano,NA,61.541,cyan 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,mechano,NA,50.01,cyan 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,mechano,NA,52.196,cyan 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,mechano,NA,63.595,cyan 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,mechano,NA,78.789,cyan 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,olfactory,trichoid,19.914,magenta 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,olfactory,trichoid,12.774,magenta 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,olfactory,trichoid,16.98,magenta 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,olfactory,trichoid,22.381,magenta 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_L.tif,sensillum length,F3,olfactory,trichoid,13.64,magenta 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width prox,F3,mechano,NA,2.433,cyan 1A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width med,F3,mechano,NA,2.067,cyan 1B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width dis,F3,mechano,NA,1.109,cyan 1C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width prox,F3,mechano,NA,2.634,cyan 2A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width med,F3,mechano,NA,1.582,cyan 2B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width dis,F3,mechano,NA,0.754,cyan 2C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width prox,F3,mechano,NA,2.562,cyan 3A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width med,F3,mechano,NA,2.271,cyan 3B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width dis,F3,mechano,NA,0.576,cyan 3C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width med,F3,olfactory,trichoid,1.026,magenta 1B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width med,F3,olfactory,trichoid,1.385,magenta 2B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f3_W.tif,sensillum width med,F3,olfactory,trichoid,1.542,magenta 3B,
NCC Ent 10,Photinus consanguineus,Photinus_consanguineus_antenna.tif,segment length,F4,NA,NA,371.652,,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,mechano,NA,57.914,1 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,mechano,NA,54.635,2 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,mechano,NA,52.404,3 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,mechano,NA,58.174,4 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,mechano,NA,53.013,5 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,olfactory,trichoid,18.57,1 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,olfactory,trichoid,22.358,2 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,olfactory,trichoid,22.026,3 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,olfactory,trichoid,16.543,4 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_L.tif,sensillum length,F4,olfactory,trichoid,23.569,5 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width prox,F4,mechano,NA,2.472,1 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width med,F4,mechano,NA,1.469,1 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width dis,F4,mechano,NA,0.309,1 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width prox,F4,mechano,NA,2.782,2 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width med,F4,mechano,NA,1.507,2 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width dis,F4,mechano,NA,0.618,2 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width prox,F4,mechano,NA,2.349,3 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width med,F4,mechano,NA,1.622,3 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width dis,F4,mechano,NA,0.712,3 (yellow),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width med,F4,olfactory,trichoid,1.224,1 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width med,F4,olfactory,trichoid,1.052,2 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consan_f4_W.tif,sensillum width med,F4,olfactory,trichoid,1.128,3 (pink),
NCC Ent 10,Photinus consanguineus,Photinus_consanguineus_antenna.tif,segment length,F5,NA,NA,328.13,,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,mechano,NA,84.449,cyan 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,mechano,NA,61.176,cyan 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,mechano,NA,64.624,cyan 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,mechano,NA,66.549,cyan 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,mechano,NA,61.1,cyan 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,olfactory,trichoid,21.079,magenta 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,olfactory,trichoid,13.966,magenta 2,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,olfactory,trichoid,9.183,magenta 3,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,olfactory,trichoid,12.216,magenta 4,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_L.tif,sensillum length,F5,olfactory,trichoid,15.085,magenta 5,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width prox,F5,mechano,NA,3.277,cyan 1A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width med,F5,mechano,NA,2.189,cyan 1B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width dis,F5,mechano,NA,1.034,cyan 1C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width prox,F5,mechano,NA,2.455,cyan 2A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width med,F5,mechano,NA,1.803,cyan 2B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width dis,F5,mechano,NA,0.729,cyan 2C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width prox,F5,mechano,NA,2.738,cyan 3A,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width med,F5,mechano,NA,1.521,cyan 3B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width dis,F5,mechano,NA,0.541,cyan 3C,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width med,F5,olfactory,trichoid,1.127,magenta 1B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width med,F5,olfactory,trichoid,1.233,magenta 2B,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f5_W.tif,sensillum width med,F5,olfactory,trichoid,1.919,magenta 3B,
NCC Ent 10,Photinus consanguineus,Photinus_consanguineus_antenna.tif,segment length,F6,NA,NA,319.326,,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f6_L.tif,sensillum length,F6,mechano,NA,71.411,cyan 1,
NCC Ent 10,Photinus consanguineus,Photinus_consan_f6_L.tif,sensillum length,F6,mechano,NA,50.178,cyan 2,
