Pyractomena borealis (LACM Ent 574186),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis antennae.tif,antenna length,NA,NA,NA,3088.854,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1.tif,segment length,F1,NA,NA,424.234,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,59.68,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,77.137,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,61.894,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,62.802,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,62.515,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum length,F1,olfactory,NA,,,none present
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width prox,F1,mechano,NA,4.748,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,mechano,NA,2.324,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width dis,F1,mechano,NA,1.099,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width prox,F1,mechano,NA,3.157,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,mechano,NA,1.973,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width dis,F1,mechano,NA,0.644,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width prox,F1,mechano,NA,4.059,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,mechano,NA,2.161,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width dis,F1,mechano,NA,1.249,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,olfactory,NA,,,none present
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2.tif,segment length,F2,NA,NA,373.442,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,57.517,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,59.619,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,59.78,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,62.093,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,52.819,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,olfactory,trichoid,12.484,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,olfactory,trichoid,11.482,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,olfactory,trichoid,11.003,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width prox,F2,mechano,NA,3.298,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,mechano,NA,1.672,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width dis,F2,mechano,NA,0.712,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width prox,F2,mechano,NA,3.809,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,mechano,NA,2.137,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width dis,F2,mechano,NA,0.615,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width prox,F2,mechano,NA,3.272,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,mechano,NA,1.543,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width dis,F2,mechano,NA,0.677,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,olfactory,trichoid,1.851,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,olfactory,trichoid,1.692,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,olfactory,trichoid,1.916,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3.tif,segment length,F3,NA,NA,297.739,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,56.647,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,58.457,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,73.313,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,61.538,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,59.676,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,olfactory,trichoid,11.459,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,olfactory,basiconica,10.535,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,olfactory,trichoid,13.646,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,olfactory,trichoid,12.333,4 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,olfactory,trichoid,13.621,5 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width prox,F3,mechano,NA,3.951,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width med,F3,mechano,NA,1.992,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width dis,F3,mechano,NA,0.572,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width prox,F3,mechano,NA,4.449,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width med,F3,mechano,NA,1.754,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width dis,F3,mechano,NA,0.675,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width prox,F3,mechano,NA,3.744,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width med,F3,mechano,NA,1.596,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width dis,F3,mechano,NA,0.675,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width med,F3,olfactory,trichoid,1.741,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width med,F3,olfactory,trichoid,1.854,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3W.tif,sensillum width med,F3,olfactory,trichoid,2.111,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4.tif,segment length,F4,NA,NA,338.808,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,mechano,NA,56.893,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,mechano,NA,57.26,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,mechano,NA,56.83,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,mechano,NA,61.992,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,mechano,NA,56.866,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,olfactory,trichoid,10.287,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,olfactory,trichoid,10.939,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,olfactory,trichoid,10.661,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,olfactory,trichoid,11.181,4 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4L.tif,sensillum length,F4,olfactory,trichoid,11.152,5 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width prox,F4,mechano,NA,3.236,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,mechano,NA,1.949,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width dis,F4,mechano,NA,0.988,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width prox,F4,mechano,NA,3.794,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,mechano,NA,2.394,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width dis,F4,mechano,NA,0.775,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width prox,F4,mechano,NA,3.64,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,mechano,NA,1.414,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width dis,F4,mechano,NA,0.487,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,olfactory,trichoid,1.632,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,olfactory,trichoid,1.816,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,olfactory,trichoid,2.194,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5.tif,segment length,F5,NA,NA,289.081,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,56.847,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,63.383,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,60.168,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,51.813,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,67.705,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,olfactory,trichoid,14.754,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,olfactory,trichoid,12.926,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,olfactory,basiconica,7.882,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,olfactory,trichoid,11.55,4 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,olfactory,trichoid,13.824,5 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width prox,F5,mechano,NA,3.946,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width med,F5,mechano,NA,1.491,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width dis,F5,mechano,NA,0.614,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width prox,F5,mechano,NA,4.108,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width med,F5,mechano,NA,1.702,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width dis,F5,mechano,NA,0.677,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width prox,F5,mechano,NA,3.912,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width med,F5,mechano,NA,1.55,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width dis,F5,mechano,NA,0.473,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width med,F5,olfactory,trichoid,1.794,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width med,F5,olfactory,trichoid,1.738,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5W.tif,sensillum width med,F5,olfactory,trichoid,1.794,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6.tif,segment length,F6,NA,NA,344.819,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,mechano,NA,52.639,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,mechano,NA,55.9,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,mechano,NA,57.443,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,mechano,NA,68.842,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,mechano,NA,58.19,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,olfactory,trichoid,12.19,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,olfactory,trichoid,10.123,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,olfactory,trichoid,9.667,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,olfactory,trichoid,14.387,4 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L.tif,sensillum length,F6,olfactory,basiconica,9.22,5 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width prox,F6,mechano,NA,3.293,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width med,F6,mechano,NA,1.699,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width dis,F6,mechano,NA,0.383,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width prox,F6,mechano,NA,3.55,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width med,F6,mechano,NA,1.824,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width dis,F6,mechano,NA,0.555,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width prox,F6,mechano,NA,3.691,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width med,F6,mechano,NA,1.985,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width dis,F6,mechano,NA,0.735,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width med,F6,olfactory,trichoid,1.629,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width med,F6,olfactory,trichoid,2.084,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6L-W.tif,sensillum width med,F6,olfactory,trichoid,1.757,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7.tif,segment length,F7,NA,NA,299.469,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7L.tif,sensillum length,F7,mechano,NA,52.631,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7L.tif,sensillum length,F7,mechano,NA,51.306,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7L.tif,sensillum length,F7,mechano,NA,50.728,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7L.tif,sensillum length,F7,mechano,NA,57.143,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7L.tif,sensillum length,F7,mechano,NA,54.764,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7L.tif,sensillum length,F7,olfactory,trichoid,10.417,1 orange (only one present),
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width prox,F7,mechano,NA,3.176,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width med,F7,mechano,NA,1.758,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width dis,F7,mechano,NA,0.673,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width prox,F7,mechano,NA,3.414,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width med,F7,mechano,NA,1.489,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width dis,F7,mechano,NA,0.514,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width prox,F7,mechano,NA,3.401,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width med,F7,mechano,NA,2.097,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width dis,F7,mechano,NA,0.753,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7W.tif,sensillum width med,F7,olfactory,trichoid,1.735,orange D (only one present),
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8.tif,segment length,F8,NA,NA,270.068,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,mechano,NA,58.53,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,mechano,NA,59.808,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,mechano,NA,56.956,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,mechano,NA,57.098,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,mechano,NA,54.386,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,olfactory,trichoid,12.458,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,olfactory,trichoid,10.023,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,olfactory,trichoid,13.226,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,olfactory,trichoid,12.925,4 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-L.tif,sensillum length,F8,olfactory,basiconica,9.074,5 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width prox,F8,mechano,NA,3.576,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width med,F8,mechano,NA,2.322,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width dis,F8,mechano,NA,0.655,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width prox,F8,mechano,NA,3.646,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width med,F8,mechano,NA,1.947,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width dis,F8,mechano,NA,0.526,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width prox,F8,mechano,NA,3.328,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width med,F8,mechano,NA,1.719,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8W.tif,sensillum width dis,F8,mechano,NA,0.502,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-WO.tif,sensillum width med,F8,olfactory,trichoid,1.933,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-WO.tif,sensillum width med,F8,olfactory,trichoid,2.381,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-WO.tif,sensillum width med,F8,olfactory,basiconica,2.108,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9.tif,segment length,F9,NA,NA,375.918,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,mechano,NA,48.832,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,mechano,NA,53.954,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,mechano,NA,54.323,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,mechano,NA,66.729,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,mechano,NA,49.104,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,olfactory,trichoid,10.958,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,olfactory,trichoid,11.017,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,olfactory,trichoid,12.824,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,olfactory,trichoid,12.124,4 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9L.tif,sensillum length,F9,olfactory,trichoid,11.826,5 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width prox,F9,mechano,NA,3.038,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,mechano,NA,1.22,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width dis,F9,mechano,NA,0.693,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width prox,F9,mechano,NA,3.463,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,mechano,NA,1.272,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width dis,F9,mechano,NA,0.509,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width prox,F9,mechano,NA,3.581,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,mechano,NA,1.47,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width dis,F9,mechano,NA,0.624,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,olfactory,trichoid,1.876,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,olfactory,trichoid,2.068,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,olfactory,trichoid,2.035,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1.tif,segment width,F1,NA,NA,200.6,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2.tif,segment width,F2,NA,NA,197.7,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3.tif,segment width,F3,NA,NA,180.2,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4.tif,segment width,F4,NA,NA,163.8,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5.tif,segment width,F5,NA,NA,142.2,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6.tif,segment width,F6,NA,NA,147.6,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7.tif,segment width,F7,NA,NA,149.2,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-WO.tif,segment width,F8,NA,NA,140.1,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9.tif,segment width,F9,NA,NA,135.2,NA,