Pyropyga nigricans (LACM Ent 574184),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574184,Pyropyga nigricans,NA,antenna length,NA,NA,NA,,,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1.tif,segment length,F1,NA,NA,498.073,,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,mechano,NA,161.941,1,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,mechano,NA,127.314,2,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,mechano,NA,129.971,3,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,mechano,NA,101.896,4,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,mechano,NA,114.899,5,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1L.tif,sensillum length,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width prox,F1,mechano,NA,5.503,1,1 A
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width med,F1,mechano,NA,2.948,1,1 B
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width dis,F1,mechano,NA,1.725,1,1 C
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width prox,F1,mechano,NA,5.071,2,2 A
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width med,F1,mechano,NA,3.725,2,2 B
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width dis,F1,mechano,NA,1.47,2,2 C
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width prox,F1,mechano,NA,5.579,3,3 A
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width med,F1,mechano,NA,3.715,3,3 B
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width dis,F1,mechano,NA,2.156,3,3 C
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width med,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width med,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F1W.tif,sensillum width med,F1,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2.tif,segment length,F2,NA,NA,795.092,,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,mechano,NA,91.069,1,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,mechano,NA,109.947,2,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,mechano,NA,130.586,3,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,mechano,NA,120.864,4,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,mechano,NA,100.553,5,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2L.tif,sensillum length,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width prox,F2,mechano,NA,3.803,1,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width med,F2,mechano,NA,2.58,2,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width dis,F2,mechano,NA,1.701,3,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width prox,F2,mechano,NA,5.69,4,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width med,F2,mechano,NA,4.147,5,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width dis,F2,mechano,NA,2.18,6,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width prox,F2,mechano,NA,4.895,7,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width med,F2,mechano,NA,3.749,8,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width dis,F2,mechano,NA,2.075,9,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width med,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width med,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F2W.tif,sensillum width med,F2,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3.tif,segment length,F3,NA,NA,824.126,,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,mechano,NA,111.426,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,mechano,NA,121.929,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,mechano,NA,130.674,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,mechano,NA,150.185,4 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,mechano,NA,112.686,5 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,olfactory,NA,13.389,1 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,olfactory,NA,14.525,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,olfactory,NA,10.345,3 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,olfactory,NA,13.155,4 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3L.tif,sensillum length,F3,olfactory,NA,NA,,unsuitable for measuring 
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width prox,F3,mechano,NA,5.392,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width med,F3,mechano,NA,2.848,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width dis,F3,mechano,NA,1.789,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width prox,F3,mechano,NA,5.712,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width med,F3,mechano,NA,3.389,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width dis,F3,mechano,NA,2.277,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width prox,F3,mechano,NA,5.673,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width med,F3,mechano,NA,2.933,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width dis,F3,mechano,NA,1.872,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width med,F3,olfactory,trichoid,2.487,1 orange ,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width med,F3,olfactory,basiconica,3.03,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F3W.tif,sensillum width med,F3,olfactory,basiconica,3.246,3 orange ,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4.tif,segment length,F4,NA,NA,836.633,,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,mechano,NA,124.934,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,mechano,NA,160.626,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,mechano,NA,104.316,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,mechano,NA,108.778,4 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,mechano,NA,121.194,5 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,olfactory,trichoid,12.637,1 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,olfactory,basiconica,9.393,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,olfactory,basiconica,9.896,3 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,olfactory,basiconica,6.856,4 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4L.tif,sensillum length,F4,olfactory,basiconica,8.012,5 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width prox,F4,mechano,NA,5.689,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width med,F4,mechano,NA,2.792,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width dis,F4,mechano,NA,1.45,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width prox,F4,mechano,NA,4.996,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width med,F4,mechano,NA,3.021,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width dis,F4,mechano,NA,1.506,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width prox,F4,mechano,NA,5.942,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width med,F4,mechano,NA,2.901,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width dis,F4,mechano,NA,1.532,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width med,F4,olfactory,trichoid,1.927,1 orange ,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width med,F4,olfactory,basiconica,2.513,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F4W.tif,sensillum width med,F4,olfactory,trichoid,1.779,3 orange ,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5.tif,segment length,F5,NA,NA,815.267,,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,mechano,NA,109.76,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,mechano,NA,99.324,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,mechano,NA,122.28,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,mechano,NA,93.656,4 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,mechano,NA,91.676,5 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,olfactory,trichoid,17.282,1 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,olfactory,trichoid,18.308,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,olfactory,trichoid,23.428,3 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,olfactory,trichoid,38.116,4 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5L.tif,sensillum length,F5,olfactory,trichoid,26.396,5 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width prox,F5,mechano,NA,5.076,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width med,F5,mechano,NA,2.639,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width dis,F5,mechano,NA,1.431,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width prox,F5,mechano,NA,5.611,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width med,F5,mechano,NA,2.87,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width dis,F5,mechano,NA,1.79,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width prox,F5,mechano,NA,5.439,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width med,F5,mechano,NA,4.182,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width dis,F5,mechano,NA,2.686,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width med,F5,olfactory,NA,1.588,1 orange ,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width med,F5,olfactory,NA,2.196,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F5W.tif,sensillum width med,F5,olfactory,NA,1.63,3 orange ,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6.tif,segment length,F6,NA,NA,773.432,,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,mechano,NA,98.482,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,mechano,NA,113.453,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,mechano,NA,139.569,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,mechano,NA,129.003,4 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,mechano,NA,91.671,5 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,olfactory,NA,34.936,1 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,olfactory,NA,28.139,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,olfactory,NA,22.804,3 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,olfactory,NA,9.031,4 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6L.tif,sensillum length,F6,olfactory,NA,18.156,5 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width prox,F6,mechano,NA,5.025,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width med,F6,mechano,NA,2.58,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width dis,F6,mechano,NA,1.747,1 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width prox,F6,mechano,NA,5.138,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width med,F6,mechano,NA,2.308,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width dis,F6,mechano,NA,1.646,2 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width prox,F6,mechano,NA,6.429,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width med,F6,mechano,NA,2.814,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width dis,F6,mechano,NA,1.433,3 green,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width med,F6,olfactory,NA,1.356,1 orange ,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width med,F6,olfactory,NA,1.418,2 orange,
LACM Ent 574184,Pyropyga nigricans,Pyropyga nigricans F6W.tif,sensillum width med,F6,olfactory,NA,2.006,3 orange ,
LACM Ent 574184,Pyropyga nigricans,,segment length,F7,NA,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F7,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F7,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,segment length,F8,NA,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F8,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F8,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,segment length,F9,NA,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum length,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width prox,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width dis,F9,mechano,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,,sensillum width med,F9,olfactory,NA,NA,NA,
LACM Ent 574184,Pyropyga nigricans,Pyropyga_nigricans_F1-xy.tif,segment width,F1,NA,NA,205.3,NA,
LACM Ent 574184,Pyropyga nigricans,Pyropyga_nigricans_F2L-xy.tif,segment width,F2,NA,NA,148.7,NA,
LACM Ent 574184,Pyropyga nigricans,Pyropyga_nigricans_F3L-xy.tif,segment width,F3,NA,NA,151,NA,
LACM Ent 574184,Pyropyga nigricans,Pyropyga_nigricans_F4L-xy.tif,segment width,F4,NA,NA,148.3,NA,
LACM Ent 574184,Pyropyga nigricans,Pyropyga_nigricans_F5L-xy.tif,segment width,F5,NA,NA,138,NA,
LACM Ent 574184,Pyropyga nigricans,Pyropyga_nigricans_F1-xy.tif,segment width,F6,NA,NA,122.3,NA,