Specimen,Species,Authority,Signal,Sex,Body length (mm),Antenna complete,Number of Flagellum segments,Type of antennae,Requested,In Custody,Scanned,Measured,Notes,,,,,,,,,,,,,,,,
LACM Ent 574199,Ellychnia californica,"Motschulsky, 1853",chemical,NA,10.31,yes,9,serrate,yes,yes,yes,yes,specimen missing butt; fully meaured XY & LW,,,,,,,,,,,,,,,,
BPC 1,Photinus macdermotti,"Lloyd, 1966",visual,NA,NA,no,9,serrate,yes,yes,yes,yes,Sample from Dr. Brown's personal collection (BPC); fully meaured XY & LW - missing F2 & F3,,,,,,,,,,,,,,,,
LACM Ent 574198,Ellychnia corrusca,"Linnaeus, 1767",chemical,male,9.675,no,9,serrate,yes,yes,yes,yes,"This sample is really badly coated, I'm not sure if we can use it. I ended up using all but some middle segments; fully meaured XY & LW",,,,,,,,,,,,,,,,
LACM Ent 574194,Ellychnia simplex,"Gorham, 1881",chemical,male,6.682,no,6,serrate,yes,yes,yes,yes,"The first three antenomere segments were lost during transfer? Are we sure it doesn't just have 6 antenomeres?; fully meaured XY & LW - missing F1, F2, & F3",,,,,,,,,,,,,,,,
LACM Ent 574193,Lucio sp,NA,visual,male,17.081,no,8,filiform,yes,yes,yes,no,only antenna and F9 scanned,,,,,,,,,,,,,,,,
LACM Ent 574192,Lucidota sp,NA,chemical,male,15.574,yes,9,serrate,yes,yes,yes,yes,XY - complete; LW - complete,,,,,,,,,,,,,,,,
LACM Ent 574191,Lucidota punctata,"LeConte, 1851",chemical,female,5.735,no,5,serrate,yes,yes,yes,yes,XY and LW done - missing F1-3,,,,,,,,,,,,,,,,
LACM Ent 574190,Bicellonycha sp,NA,visual,male,11.002,no,9,serrate,yes,yes,yes,yes,I couldn't get much XY data here because the sputter coating was too chunky; XY only has F1 analyzed; LW is done ,,,,,,,,,,,,,,,,
LACM Ent 574189,Bicellonycha wickershamorum,"Cicerco, 1982",visual,male,6.737,yes,9,serrate,yes,yes,yes,yes,wickershamorum subspecies; XY - complete; LW - complete,,,,,,,,,,,,,,,,
LACM Ent 574188,Phausis reticulata,"Say, 1825",both,male,7.679,no,7,serrate,yes,yes,yes,yes,XY  - complete; LW is missing F7 - complete,,,,,,,,,,,,,,,,
LACM Ent 574187,Pyractomena angulata,"Say, 1825",visual,female,9.518,no,9,serrate,yes,yes,yes,yes,XY and LW are done,,,,,,,,,,,,,,,,
LACM Ent 574186,Pyractomena borealis,"Randall, 1838",visual,male,11.165,yes,9,serrate,yes,yes,yes,yes,XY and LW are done,,,,,,,,,,,,,,,,
LACM Ent 574185,Pyractomena lucifera,"Mannerheim, 1846",visual,female,10.39,yes,9,serrate,yes,yes,yes,yes,XY and LW are done,,,,,,,,,,,,,,,,
LACM Ent 574184,Pyropyga nigricans,"Say, 1823",chemical,male,6.232,no,6,serrate,yes,yes,yes,yes,XY and LW are done,,,,,,,,,,,,,,,,
LACM Ent 574183,Photinus marginellus,"LeConte, 1851",visual,NA,4.605,yes,9,serrate,yes,yes,yes,yes,"only f1-f6 , it looks like there are pictures throught F9? specimen missing butt; XY and LW are done for all segments (F1-F9)",,,,,,,,,,,,,,,,
LACM Ent 574182,Photinus pyralis,"Linnaeus, 1767",visual,female,17.338,no,9,serrate,yes,yes,yes,yes,XY - complete; LW is done,,,,,,,,,,,,,,,,
NCC Ent 1,Photuris sp,"Laporte, 1833",visual,male,15.864,yes,9,serrate,yes,yes,yes,yes,"Third row up from bottom, first from right in box; AKA Photuris_sp_1; XY done; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 2,Bicellonycha wickershamorum,"Cicerco, 1982",visual,male,7.691,no,6,serrate,yes,yes,yes,yes,Fourth from right in box; XY done; LW - complete,,,,,,,,,,,,,,,,
NCC Ent 3,Bicellonycha wickershamorum,"Cicerco, 1982",visual,female,9.135,no,5,serrate,yes,yes,yes,yes,"First form right in box; XY done; LW -complete for f1-f5. For some reason, only F1-F5 were photographed, even though the antenna appears complete through F8",,,,,,,,,,,,,,,,
NCC Ent 4,Photinus scintillans,Say 1825,visual,male,7.637,yes,9,serrate,yes,yes,yes,yes,First from left in box;  XY done; LW - complete,,,,,,,,,,,,,,,,
NCC Ent 5,Photuris sp,"Laporte, 1833",visual,male,11.049,yes,9,serrate,yes,yes,yes,yes,"Third row up from bottom, fifth from right in box, uncertain about sex; AKA Photuris_sp_2; XY done; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 6,Photuris flavicollis,Fall 1927,visual,male,11.3,no,4,serrate,yes,yes,yes,yes,Second from left in box; XY done; LW - complete,,,,,,,,,,,,,,,,
NCC Ent 7,Photinus pyralis,"Linnaeus, 1767",visual,male,15.701,yes,9,serrate,yes,yes,yes,yes,"Fifth row from bottom, fourth from left in box; AKA Photinus_py_1; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 8,Photinus pyralis,"Linnaeus, 1767",visual,male,11.768,yes,9,serrate,yes,yes,yes,yes,"Fourth row from top, second from right in box; AKA Photinus_py_2; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 9,Photinus indictus,"LeConte, 1881",chemical,male,5.744,yes,9,serrate,yes,yes,yes,yes,First from right in box; XY - complete; LW - complete,,,,,,,,,,,,,,,,
NCC Ent 10,Photinus consanguineus,LecConte 1851,visual,male,9.442,yes,10,serrate,yes,yes,yes,yes,"First row from top, sixth from left in box; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 11,Microphotus angustus,"LeConte, 1874",both,male,10.441,yes,5,serrate,yes,yes,yes,yes,"First row from top, second from left in box; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 12,Cratomorphus sp,"Motschulsky, 1853",visual,female,25.52,yes,8,serrate,yes,yes,yes,yes,"First row from top, third from right in box; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 13,Aspisoma sp,"Laporte, 1833",visual,male,28.52,yes,9,serrate,yes,yes,yes,yes,"First row from bottom, third from left in box; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 14,Aspisoma sp,"Laporte, 1833",visual,female,13.336,yes,9,serrate,yes,yes,yes,yes,"Second row from bottom, first from right; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 15,Ellychnia sp,NA,chemical,male,12.401,yes,8,serrate,yes,yes,yes,yes,"First row from top, first from left in box; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 16,Vesta sp,"Laporte, 1833",visual,male,7.221,yes,6,filiform,yes,yes,yes,yes,"First row from top, second from right in box; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NCC Ent 17,Vesta basalis,"Gorham, 1880",visual,male,11.65,yes,9,serrate,yes,yes,yes,yes,"Second row from top, third from left; XY - complete; LW - complete",,,,,,,,,,,,,,,,
NA,Lucidota atra,"Fabricius, 1792",chemical,NA,NA,NA,NA,NA,no,no,no,no,Why does this say measured if it is not in custody?? - not found anywhere; corrected label,,,,,,,,,,,,,,,,
NA,Photuris lineaticollis,,visual,NA,NA,NA,NA,NA,no,no,no,no,Why does this say measured if it is not in custody?? - not found anywhere; corrected label,,,,,,,,,,,,,,,,
NA,Phausis californica,"Fender, 1966",both,NA,NA,NA,NA,NA,no,no,no,no,Why does this say measured if it is not in custody?? - not found anywhere; corrected label,,,,,,,,,,,,,,,,
NA,Bicellonycha wickershamorum piceum,"Cicerco, 1982",visual,NA,NA,NA,NA,NA,yes,not available,no,no,only one specimen,,,,,,,,,,,,,,,,
NA,Ellychnia bivluneris,Green,chemical,NA,NA,NA,NA,NA,yes,not available,no,no,only one specimen,,,,,,,,,,,,,,,,
NA,Tenaspis angularis,"Gorham, 1880",NA,NA,NA,NA,NA,NA,no,not available,no,no,only one specimen,,,,,,,,,,,,,,,,
LACM Ent 574197,Ellychnia atra,"Olivier, 1790",chemical,NA,NA,NA,NA,NA,yes,lost,no,no,Not in lab with other samples,,,,,,,,,,,,,,,,
LACM Ent 574196,Ellychnia sp,NA,chemical,male,12.714,NA,NA,NA,yes,lost,no,no,Not in lab with other samples,,,,,,,,,,,,,,,,
LACM Ent 574195,Ellychnia flavicolis,"LeConte, 1868",chemical,NA,NA,NA,NA,NA,yes,lost,no,no,Not in lab with other samples,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
